2017-05-20 16:14:17,944 - INFO  client.command - request=Command [requestId=15, commandCode=13, responseCode=1, bodyLength=0, extentionLength=0, body={"topic_name":"test","client_name":"lgh","msg_id":15080}, extention=null]
2017-05-20 16:14:17,944 - INFO  client.command - request=Command [requestId=16, commandCode=9, responseCode=1, bodyLength=0, extentionLength=0, body={"topic_name":"test","client_name":"lgh","limit":10}, extention=null]
2017-05-20 16:14:18,131 - INFO  client.command - response=Command [requestId=16, commandCode=10, responseCode=1, bodyLength=0, extentionLength=0, body={"data":[{"id":15081,"content":"hello lgh 2082","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"},{"id":15082,"content":"hello lgh 2083","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"},{"id":15083,"content":"hello lgh 2084","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"},{"id":15084,"content":"hello lgh 2085","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"},{"id":15085,"content":"hello lgh 2086","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"},{"id":15086,"content":"hello lgh 2087","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"},{"id":15087,"content":"hello lgh 2088","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"},{"id":15088,"content":"hello lgh 2089","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"},{"id":15089,"content":"hello lgh 2090","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"},{"id":15090,"content":"hello lgh 2091","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"}]}, extention=]
2017-05-20 16:14:18,138 - INFO  client.command - request=Command [requestId=17, commandCode=13, responseCode=1, bodyLength=0, extentionLength=0, body={"topic_name":"test","client_name":"lgh","msg_id":15090}, extention=null]
2017-05-20 16:14:18,139 - INFO  client.command - request=Command [requestId=18, commandCode=9, responseCode=1, bodyLength=0, extentionLength=0, body={"topic_name":"test","client_name":"lgh","limit":10}, extention=null]
2017-05-20 16:14:18,307 - INFO  client.command - response=Command [requestId=18, commandCode=10, responseCode=1, bodyLength=0, extentionLength=0, body={"data":[{"id":15091,"content":"hello lgh 2092","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"},{"id":15092,"content":"hello lgh 2093","create_time":"May 17, 2017 10:09:06 PM","update_time":"May 17, 2017 10:09:06 PM"},{"id":15093,"content":"hello lgh 2094","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"},{"id":15094,"content":"hello lgh 2095","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"},{"id":15095,"content":"hello lgh 2096","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"},{"id":15096,"content":"hello lgh 2097","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"},{"id":15097,"content":"hello lgh 2098","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"},{"id":15098,"content":"hello lgh 2099","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"},{"id":15099,"content":"hello lgh 2100","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"},{"id":15100,"content":"hello lgh 2101","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"}]}, extention=]
2017-05-20 16:14:18,313 - INFO  client.command - request=Command [requestId=19, commandCode=13, responseCode=1, bodyLength=0, extentionLength=0, body={"topic_name":"test","client_name":"lgh","msg_id":15100}, extention=null]
2017-05-20 16:14:18,314 - INFO  client.command - request=Command [requestId=20, commandCode=9, responseCode=1, bodyLength=0, extentionLength=0, body={"topic_name":"test","client_name":"lgh","limit":10}, extention=null]
2017-05-20 16:14:18,505 - INFO  client.command - response=Command [requestId=20, commandCode=10, responseCode=1, bodyLength=0, extentionLength=0, body={"data":[{"id":15101,"content":"hello lgh 2102","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"},{"id":15102,"content":"hello lgh 2103","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"},{"id":15103,"content":"hello lgh 2104","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"},{"id":15104,"content":"hello lgh 2105","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"},{"id":15105,"content":"hello lgh 2106","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"},{"id":15106,"content":"hello lgh 2107","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"},{"id":15107,"content":"hello lgh 2108","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"},{"id":15108,"content":"hello lgh 2109","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"},{"id":15109,"content":"hello lgh 2110","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"},{"id":15110,"content":"hello lgh 2111","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"}]}, extention=]
2017-05-20 16:14:18,513 - INFO  client.command - request=Command [requestId=21, commandCode=13, responseCode=1, bodyLength=0, extentionLength=0, body={"topic_name":"test","client_name":"lgh","msg_id":15110}, extention=null]
2017-05-20 16:14:18,515 - INFO  client.command - request=Command [requestId=22, commandCode=9, responseCode=1, bodyLength=0, extentionLength=0, body={"topic_name":"test","client_name":"lgh","limit":10}, extention=null]
2017-05-20 16:14:18,715 - INFO  client.command - response=Command [requestId=22, commandCode=10, responseCode=1, bodyLength=0, extentionLength=0, body={"data":[{"id":15111,"content":"hello lgh 2112","create_time":"May 17, 2017 10:09:07 PM","update_time":"May 17, 2017 10:09:07 PM"},{"id":15112,"content":"hello lgh 2113","create_time":"May 17, 2017 10:09:08 PM","update_time":"May 17, 2017 10:09:08 PM"},{"id":15113,"content":"hello lgh 2114","create_time":"May 17, 2017 10:09:08 PM","update_time":"May 17, 2017 10:09:08 PM"},{"id":15114,"content":"hello lgh 2115","create_time":"May 17, 2017 10:09:08 PM","update_time":"May 17, 2017 10:09:08 PM"},{"id":15115,"content":"hello lgh 2116","create_time":"May 17, 2017 10:09:08 PM","update_time":"May 17, 2017 10:09:08 PM"},{"id":15116,"content":"hello lgh 2117","create_time":"May 17, 2017 10:09:08 PM","update_time":"May 17, 2017 10:09:08 PM"},{"id":15117,"content":"hello lgh 2118","create_time":"May 17, 2017 10:09:08 PM","update_time":"May 17, 2017 10:09:08 PM"},{"id":15118,"content":"hello lgh 2119","create_time":"May 17, 2017 10:09:08 PM","update_time":"May 17, 2017 10:09:08 PM"},{"id":15119,"content":"hello lgh 2120","create_time":"May 17, 2017 10:09:08 PM","update_time":"May 17, 2017 10:09:08 PM"},{"id":15120,"content":"hello lgh 2121","create_time":"May 17, 2017 10:09:08 PM","update_time":"May 17, 2017 10:09:08 PM"}]}, extention=]
2017-05-20 16:14:18,718 - INFO  client.command - request=Command [requestId=23, commandCode=13, responseCode=1, bodyLength=0, extentionLength=0, body={"topic_name":"test","client_name":"lgh","msg_id":15120}, extention=null]
2017-05-20 16:14:18,719 - INFO  client.command - request=Command [requestId=24, commandCode=9, responseCode=1, bodyLength=0, extentionLength=0, body={"topic_name":"test","client_name":"lgh","limit":10}, extention=null]
